country,score
India,84
China,80
United States,135
Indonesia,72
Pakistan,69
Nigeria,6
Brazil,139
Bangladesh,89
Russia,68
Ethiopia,32
Mexico,134
Japan,104
Philippines,114
Egypt,29
DR Congo,65
Vietnam,94
Iran,26
Turkey,58
Germany,132
Thailand,109
Tanzania,34
United Kingdom,149
France,151
South Africa,137
Italy,121
Kenya,27
Myanmar,41
Colombia,141
South Korea,75
Uganda,16
Sudan,1
Spain,154
Iraq,8
Algeria,31
Argentina,142
Afghanistan,2
Poland,108
Canada,148
Morocco,13
Ukraine,97
Angola,20
Saudi Arabia,3
Uzbekistan,49
Yemen,21
Mozambique,112
Ghana,24
Peru,95
Malaysia,57
Nepal,76
Madagascar,37
Ivory Coast,45
Venezuela,99
Cameroon,25
Niger,30
Australia,138
Syria,0
Mali,64
Taiwan,0
Burkina Faso,54
Sri Lanka,70
Malawi,15
Zambia,35
Kazakhstan,73
Chile,127
Romania,124
Chad,11
Somalia,0
Ecuador,131
Guatemala,110
Senegal,12
Netherlands,157
Cambodia,74
Zimbabwe,23
Guinea,7
Rwanda,52
Benin,46
Burundi,9
Bolivia,116
Tunisia,10
Haiti,53
Belgium,152
Dominican Republic,102
Jordan,42
South Sudan,4
Cuba,0
Honduras,111
Sweden,158
Papua New Guinea,39
Czech Republic,128
Azerbaijan,50
Tajikistan,66
Greece,130
Portugal,146
Hungary,133
United Arab Emirates,59
Belarus,78
Israel,125
Togo,19
Sierra Leone,18
Austria,136
Switzerland,143
Laos,60
Hong Kong,101
Nicaragua,115
Serbia,117
Libya,28
Paraguay,81
Kyrgyzstan,71
Bulgaria,100
Turkmenistan,44
El Salvador,113
Republic of the Congo,55
Singapore,82
Denmark,156
Central African Republic,40
Slovakia,129
Finland,153
Liberia,33
Norway,155
Palestine,0
New Zealand,147
Costa Rica,123
Lebanon,56
Ireland,140
Mauritania,14
Oman,62
Panama,105
Kuwait,43
Croatia,126
Eritrea,17
Georgia,85
Mongolia,90
Uruguay,150
Moldova,88
Puerto Rico,0
Bosnia and Herzegovina,98
Gambia,22
Albania,103
Jamaica,91
Armenia,51
Qatar,5
Botswana,83
Lithuania,120
Namibia,79
Gabon,47
Lesotho,61
Guinea-Bissau,38
Slovenia,144
North Macedonia,96
Latvia,106
Equatorial Guinea,0
Bahrain,93
Timor-Leste,87
Estonia,119
Mauritius,92
Cyprus,122
Eswatini,48
Djibouti,77
Fiji,0
Comoros,36
Guyana,63
Bhutan,0
Solomon Islands,0
Macau,0
Luxembourg,0
Suriname,67
Montenegro,0
Malta,145
Maldives,0
Brunei,0
Belize,0
Bahamas,107
Iceland,0
Barbados,86
Samoa,0
Curacao,0
Saint Lucia,0
Guam,0
Kiribati,0
Grenada,0
Micronesia,0
Tonga,0
Seychelles,0
Aruba,0
Andorra,0
Dominica,0
Cayman Islands,0
Northern Mariana Islands,0
Saint Kitts and Nevis,0
Sint Maarten,0
Marshall Islands,0
Liechtenstein,0
Monaco,0
San Marino,0
Palau,0
Cook Islands,0
Nauru,0
Tuvalu,0
